duration,protocol_type,service,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_guest_login,serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,level,outcome
0,tcp,private,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.11,0.07,0.0,255,0.02,0.07,0.0,1.0,1.0,0.0,0.0,21,neptune
0,tcp,http_443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.14,0.07,0.0,255,0.07,0.07,0.0,0.0,0.0,1.0,1.0,18,neptune
16,tcp,smtp,977,335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,209,0.57,0.02,0.02,0.0,0.0,0.0,0.0,21,normal
0,tcp,http,230,10597,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,5,1.0,0.0,0.04,0.0,0.0,0.0,0.0,21,normal
0,udp,domain_u,46,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.01,0.0,255,1.0,0.01,0.0,0.0,0.0,0.0,0.0,18,normal
0,tcp,http,195,2790,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,6,1.0,0.0,0.05,0.0,0.0,0.0,0.0,21,normal
9,tcp,smtp,857,338,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,86,0.36,0.06,0.02,0.0,0.0,0.0,0.0,21,normal
0,icmp,ecr_i,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,smurf
0,tcp,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.92,1.0,0.0,1.0,0.0,255,0.0,1.0,0.0,0.06,0.0,0.94,1.0,20,satan
0,tcp,private,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.05,0.07,0.0,255,0.02,0.08,0.0,1.0,1.0,0.0,0.0,21,neptune
0,udp,domain_u,44,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.09,255,0.98,0.01,0.0,0.0,0.0,0.0,0.0,21,normal
0,tcp,whois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.18,0.06,0.0,255,0.0,0.06,0.0,1.0,1.0,0.0,0.0,18,neptune
0,tcp,http,286,5745,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,92,1.0,0.0,0.05,0.0,0.0,0.0,0.0,21,normal
0,tcp,telnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.21,0.04,0.0,255,0.05,0.06,0.0,1.0,1.0,0.0,0.0,18,neptune
0,tcp,private,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.14,0.05,0.0,255,0.01,0.06,0.0,1.0,1.0,0.0,0.0,21,neptune
0,tcp,ftp_data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.06,0.0,255,0.0,0.07,0.0,1.0,1.0,0.0,0.0,20,neptune
0,tcp,imap4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.06,0.06,0.0,255,0.03,0.07,0.0,1.0,1.0,0.0,0.0,18,neptune
0,tcp,smtp,3452,333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,200,0.95,0.01,0.01,0.0,0.0,0.0,0.0,19,normal
0,tcp,http,263,3303,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.15,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,normal
0,tcp,http,283,1051,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,5,1.0,0.0,0.04,0.0,0.0,0.0,0.0,21,normal
0,tcp,ftp_data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,171,0.27,0.02,0.03,0.01,0.0,0.29,0.02,7,portsweep
